Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Actual,Predicted,Prob_NotEnrolled,Prob_Enrolled
1,1,2,9500,1,1,142.0,1,37,37,9,7,132.7,1,0,0,1,0,1,19,0,0,7,8,7,14.7875,0,0,8,8,8,15.8625,0,13.9,-0.3,0.79,Not Enrolled,Not Enrolled,1.0,0.0
1,1,1,9238,1,1,128.0,1,37,19,9,4,127.3,1,0,0,1,0,1,19,0,0,6,8,6,14.0,0,0,6,8,6,12.285714285714286,0,16.2,0.3,-0.92,Not Enrolled,Not Enrolled,1.0,0.0
1,39,1,9991,0,1,150.0,1,3,1,3,9,154.0,0,0,0,1,0,0,27,0,0,5,5,0,0.0,0,0,5,6,0,0.0,0,12.4,0.5,1.79,Not Enrolled,Not Enrolled,0.99,0.01
1,1,3,9500,1,1,135.0,1,38,19,8,8,126.3,1,0,1,1,0,1,18,0,0,7,8,7,12.65,0,0,8,9,8,12.445555555555554,0,15.5,2.8,-4.06,Not Enrolled,Not Enrolled,0.99,0.01
1,17,2,9773,1,1,131.0,1,3,19,2,3,132.8,1,0,0,1,1,0,19,0,0,6,7,6,14.428571428571429,0,0,6,7,6,14.571428571428571,0,13.9,-0.3,0.79,Not Enrolled,Not Enrolled,0.99,0.01
1,42,1,9119,1,1,140.0,1,19,19,90,90,120.0,0,0,1,0,1,0,31,0,0,4,4,0,0.0,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Not Enrolled,Not Enrolled,0.99,0.01
2,7,1,8014,0,3,120.0,1,38,1,9,9,120.0,0,0,0,0,0,0,35,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Not Enrolled,Not Enrolled,0.99,0.01
1,39,1,9003,1,1,130.0,1,1,1,9,4,140.0,0,0,0,0,1,0,25,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,13.9,-0.3,0.79,Not Enrolled,Not Enrolled,0.99,0.01
1,1,1,9500,1,1,133.0,1,38,38,5,5,123.2,0,0,0,1,0,0,18,0,0,7,7,7,13.285714285714286,0,0,8,9,8,13.333333333333334,0,16.2,0.3,-0.92,Not Enrolled,Not Enrolled,0.99,0.01
1,17,2,9500,1,1,140.0,1,37,37,9,9,132.5,1,0,0,1,0,0,18,0,0,7,7,6,14.316666666666668,0,0,7,7,6,14.316666666666668,0,7.6,2.6,0.32,Not Enrolled,Not Enrolled,0.99,0.01
1,1,1,9238,1,1,145.0,1,19,37,4,7,148.9,1,0,0,1,0,1,18,0,0,6,6,6,13.666666666666666,0,0,6,6,6,13.0,0,10.8,1.4,1.74,Not Enrolled,Not Enrolled,0.99,0.01
2,39,1,9991,0,12,133.1,1,37,37,9,9,133.8,1,0,0,1,1,0,52,0,0,5,5,5,13.6,0,0,5,5,5,14.2,0,7.6,2.6,0.32,Not Enrolled,Not Enrolled,0.99,0.01
1,39,2,9147,1,38,133.1,1,19,38,9,9,102.5,0,0,0,0,1,0,26,0,0,4,4,0,0.0,0,0,5,0,0,0.0,0,12.7,3.7,-1.7,Not Enrolled,Not Enrolled,0.99,0.01
1,39,1,9670,1,9,133.1,1,6,22,3,3,120.0,0,0,1,0,1,0,26,0,0,5,5,0,0.0,0,0,5,5,0,0.0,5,9.4,-0.8,-3.12,Not Enrolled,Not Enrolled,0.99,0.01
1,17,2,9254,1,1,131.0,1,1,19,9,9,130.3,1,0,0,1,0,1,18,0,0,6,6,6,12.833333333333334,0,0,6,7,6,12.333333333333334,0,13.9,-0.3,0.79,Not Enrolled,Not Enrolled,0.99,0.01
1,17,5,9500,1,1,144.0,1,19,38,9,5,130.7,1,0,0,1,0,1,18,0,0,7,8,7,14.85,0,0,8,9,8,15.61111111111111,0,13.9,-0.3,0.79,Not Enrolled,Not Enrolled,0.99,0.01
1,1,2,9773,1,1,140.0,1,1,1,9,9,136.9,1,0,0,1,0,1,19,0,0,6,7,6,13.5,0,0,6,7,6,14.428571428571429,0,16.2,0.3,-0.92,Not Enrolled,Not Enrolled,0.99,0.01
1,39,1,9003,1,1,133.1,1,19,37,9,7,110.0,1,0,0,1,1,0,31,0,0,6,8,0,0.0,0,0,6,10,0,0.0,0,16.2,0.3,-0.92,Not Enrolled,Not Enrolled,0.99,0.01
1,17,1,9500,1,1,142.0,1,37,37,5,5,131.3,1,0,0,1,0,0,19,0,0,8,8,7,14.731428571428571,0,0,8,8,7,14.731428571428571,0,10.8,1.4,1.74,Not Enrolled,Not Enrolled,0.99,0.01
1,1,1,9500,1,1,140.0,1,19,38,7,8,129.9,0,0,0,1,0,0,19,0,0,7,0,0,0.0,0,0,8,0,0,0.0,0,16.2,0.3,-0.92,Not Enrolled,Not Enrolled,0.99,0.01
1,39,1,9003,1,1,123.0,1,37,37,9,9,110.0,0,0,1,0,0,0,48,0,0,6,6,0,0.0,0,0,6,6,0,0.0,0,11.1,0.6,2.02,Not Enrolled,Not Enrolled,0.99,0.01
1,1,1,9238,1,1,164.0,1,19,19,9,9,149.0,1,0,0,1,0,1,23,0,0,6,7,6,13.857142857142858,0,0,6,6,6,14.166666666666666,0,10.8,1.4,1.74,Not Enrolled,Not Enrolled,0.99,0.01
1,1,1,9773,1,1,142.0,1,1,19,9,9,136.1,0,0,1,1,1,1,19,0,0,6,6,6,12.666666666666666,0,0,6,6,6,14.0,0,16.2,0.3,-0.92,Not Enrolled,Not Enrolled,0.99,0.01
1,17,1,9238,1,1,151.0,1,19,1,5,0,144.4,1,0,0,1,0,0,18,0,0,6,8,6,15.375,0,0,6,7,6,16.428571428571427,0,16.2,0.3,-0.92,Not Enrolled,Not Enrolled,0.99,0.01
1,1,1,9773,1,1,152.0,1,38,37,9,9,139.1,0,0,0,1,0,1,19,0,0,6,6,6,12.833333333333334,0,0,6,6,6,13.5,0,16.2,0.3,-0.92,Not Enrolled,Not Enrolled,0.99,0.01
2,39,1,9991,0,19,133.1,1,37,37,5,5,111.9,1,0,0,1,1,0,41,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Not Enrolled,Not Enrolled,0.99,0.01
1,1,6,9500,1,1,127.0,1,1,19,3,3,120.2,1,0,0,1,0,1,19,0,0,7,7,7,12.765714285714289,0,0,8,9,8,13.544444444444444,0,12.4,0.5,1.79,Not Enrolled,Not Enrolled,0.99,0.01
1,18,3,9853,1,1,122.0,1,38,37,9,5,120.3,1,0,0,1,0,0,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Not Enrolled,Not Enrolled,0.99,0.01
1,17,1,9500,1,1,130.0,1,19,1,9,7,130.4,1,0,0,1,0,1,19,0,0,7,7,7,13.894285714285711,0,0,8,8,8,14.3625,0,11.1,0.6,2.02,Not Enrolled,Not Enrolled,0.99,0.01
1,44,1,9853,1,39,150.0,1,3,37,2,7,150.0,0,0,0,1,0,0,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,12.4,0.5,1.79,Not Enrolled,Not Enrolled,0.99,0.01
2,39,1,9991,0,1,135.0,1,34,34,0,0,134.1,1,0,0,0,1,0,49,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Not Enrolled,Not Enrolled,0.99,0.01
1,39,1,9003,1,19,133.1,1,37,37,9,9,130.0,0,0,0,1,0,0,44,0,0,6,10,1,12.0,0,0,6,6,0,0.0,0,11.1,0.6,2.02,Not Enrolled,Not Enrolled,0.99,0.01
1,18,4,9147,1,1,130.0,1,37,37,9,9,119.9,1,0,0,0,0,0,34,0,0,5,5,0,0.0,0,0,5,0,0,0.0,0,9.4,-0.8,-3.12,Not Enrolled,Not Enrolled,0.99,0.01
1,1,1,9773,1,1,140.0,1,19,37,9,6,135.8,1,0,0,1,0,1,19,0,0,6,6,6,13.0,0,0,6,7,6,13.0,0,10.8,1.4,1.74,Not Enrolled,Not Enrolled,0.99,0.01
1,1,5,9670,1,1,116.0,1,19,38,9,9,119.5,1,0,0,0,0,0,18,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,8.9,1.4,3.51,Not Enrolled,Not Enrolled,0.99,0.01
1,39,1,9003,1,1,133.1,1,1,1,1,6,120.0,0,0,0,0,1,0,24,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,13.9,-0.3,0.79,Not Enrolled,Not Enrolled,0.99,0.01
1,39,1,9085,1,1,130.0,1,34,1,0,2,128.2,0,0,0,1,1,0,25,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Not Enrolled,Not Enrolled,0.99,0.01
1,7,1,9500,1,3,140.0,1,3,1,4,4,140.0,0,0,0,1,0,0,26,0,0,7,0,0,0.0,0,0,8,0,0,0.0,0,13.9,-0.3,0.79,Not Enrolled,Not Enrolled,0.99,0.01
1,1,1,9500,1,1,147.0,1,38,19,5,8,147.3,0,0,0,1,0,0,18,0,0,7,7,6,13.966666666666669,0,0,7,7,6,13.966666666666669,0,7.6,2.6,0.32,Not Enrolled,Not Enrolled,0.99,0.01
1,44,2,9238,1,39,150.0,1,3,19,4,9,147.0,1,0,0,1,0,0,19,0,3,6,6,6,14.166666666666666,0,2,6,6,6,13.5,0,12.4,0.5,1.79,Not Enrolled,Not Enrolled,0.98,0.02
1,5,4,9119,1,1,115.0,1,19,37,4,6,113.3,1,0,0,1,1,0,23,0,0,5,7,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Not Enrolled,Not Enrolled,0.98,0.02
1,39,1,9085,1,2,140.0,1,38,38,9,10,150.0,0,0,0,1,1,0,47,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,16.2,0.3,-0.92,Not Enrolled,Not Enrolled,0.98,0.02
1,17,2,9254,1,1,143.0,1,1,19,4,6,135.0,0,0,0,1,0,0,20,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,11.1,0.6,2.02,Not Enrolled,Not Enrolled,0.98,0.02
1,44,1,8014,0,39,150.0,1,1,37,9,7,146.7,0,0,0,1,0,1,21,0,3,6,6,6,14.666666666666666,0,2,6,6,6,13.833333333333334,0,12.4,0.5,1.79,Not Enrolled,Not Enrolled,0.98,0.02
1,7,1,8014,0,3,140.0,1,1,1,4,4,140.0,0,0,0,1,0,0,30,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Not Enrolled,Not Enrolled,0.98,0.02
1,1,1,9500,1,1,136.0,1,19,19,4,7,136.0,0,0,0,1,0,1,19,0,0,7,7,7,14.014285714285714,0,0,8,8,8,15.35,0,13.9,-0.3,0.79,Not Enrolled,Not Enrolled,0.98,0.02
1,17,4,9556,1,1,135.0,1,38,37,3,7,129.0,1,0,0,1,0,0,21,0,0,7,0,0,0.0,0,0,7,0,0,0.0,0,12.7,3.7,-1.7,Not Enrolled,Not Enrolled,0.98,0.02
1,44,1,9238,1,1,150.0,1,1,38,4,9,145.9,0,0,0,1,0,1,19,0,3,6,6,6,15.5,0,2,6,7,6,13.571428571428571,0,13.9,-0.3,0.79,Not Enrolled,Not Enrolled,0.98,0.02
1,1,1,9670,1,1,122.0,1,12,12,5,7,126.6,1,0,0,1,0,0,18,0,0,6,8,6,14.625,0,0,6,9,6,14.142857142857142,0,11.1,0.6,2.02,Enrolled,Not Enrolled,0.98,0.02
1,1,1,9500,1,1,125.0,1,1,1,4,4,119.8,1,0,0,1,0,1,19,0,0,8,8,8,12.82875,0,0,8,8,8,12.82875,0,9.4,-0.8,-3.12,Not Enrolled,Not Enrolled,0.98,0.02
1,1,5,9500,1,1,139.0,1,38,38,9,5,130.5,1,0,0,1,0,0,19,0,0,8,8,7,14.992857142857142,0,0,8,8,7,14.992857142857142,0,10.8,1.4,1.74,Not Enrolled,Not Enrolled,0.98,0.02
1,43,1,9119,1,1,130.0,1,1,1,9,2,128.0,0,0,1,0,1,0,27,0,0,5,5,0,0.0,0,0,5,7,0,0.0,0,13.9,-0.3,0.79,Enrolled,Not Enrolled,0.98,0.02
1,17,4,9500,1,1,121.0,1,37,37,5,5,118.9,1,0,0,1,0,0,21,0,0,7,7,7,14.428571428571429,0,0,8,9,8,14.511111111111113,0,16.2,0.3,-0.92,Not Enrolled,Not Enrolled,0.98,0.02
1,39,1,9500,1,1,140.0,1,3,3,1,1,140.0,1,0,0,1,0,0,24,0,0,8,8,8,13.385,0,0,8,8,8,13.385,0,9.4,-0.8,-3.12,Not Enrolled,Not Enrolled,0.98,0.02
2,39,1,9147,1,1,130.0,1,1,19,9,9,109.9,0,0,0,0,0,0,29,0,0,4,4,0,0.0,0,0,5,0,0,0.0,0,12.7,3.7,-1.7,Not Enrolled,Not Enrolled,0.98,0.02
1,17,1,9500,1,1,145.0,1,3,3,2,3,141.8,0,0,0,1,0,0,19,0,0,8,8,8,13.3475,0,0,8,8,8,13.3475,0,9.4,-0.8,-3.12,Not Enrolled,Not Enrolled,0.98,0.02
1,39,1,9130,1,1,133.1,1,3,34,3,0,120.0,0,0,1,0,1,0,29,0,0,5,11,0,0.0,4,0,5,6,0,0.0,1,9.4,-0.8,-3.12,Not Enrolled,Not Enrolled,0.98,0.02
1,1,3,9500,1,1,148.0,1,1,19,4,5,135.1,1,0,1,1,0,0,18,0,0,7,0,0,0.0,0,0,8,0,0,0.0,0,13.9,-0.3,0.79,Not Enrolled,Not Enrolled,0.98,0.02
1,18,2,9500,1,1,141.0,24,1,1,4,3,126.8,1,0,0,1,0,1,20,1,0,8,8,8,14.2,0,0,8,8,8,14.2,0,9.4,-0.8,-3.12,Not Enrolled,Not Enrolled,0.98,0.02
1,1,3,9070,1,1,136.0,1,37,38,9,9,125.2,1,0,0,1,0,1,18,0,0,6,6,6,14.0,0,0,6,8,6,13.625,0,10.8,1.4,1.74,Not Enrolled,Not Enrolled,0.98,0.02
1,39,1,9003,1,1,133.1,1,37,37,3,8,130.0,0,0,1,1,0,1,30,0,0,6,6,0,0.0,0,0,6,6,0,0.0,0,11.1,0.6,2.02,Enrolled,Not Enrolled,0.98,0.02
1,1,4,9773,1,1,143.0,1,1,3,4,7,129.7,1,0,0,1,0,0,20,0,0,4,4,0,0.0,0,0,6,0,0,0.0,0,8.9,1.4,3.51,Not Enrolled,Not Enrolled,0.98,0.02
1,7,1,9003,1,3,130.0,1,38,37,5,6,130.0,0,0,0,1,0,0,32,0,0,6,7,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,Not Enrolled,Not Enrolled,0.98,0.02
1,39,1,9119,1,3,130.0,1,1,38,90,90,143.4,0,0,0,1,1,0,29,0,0,3,3,0,0.0,3,0,5,0,0,0.0,0,10.8,1.4,1.74,Not Enrolled,Not Enrolled,0.98,0.02
1,1,1,9853,1,1,131.0,1,19,19,3,7,127.9,1,0,0,1,0,1,18,0,0,7,7,7,14.857142857142858,0,0,7,7,7,15.142857142857142,0,13.9,-0.3,0.79,Not Enrolled,Not Enrolled,0.98,0.02
2,39,1,9853,1,1,110.0,1,37,37,9,9,95.5,0,0,1,0,0,0,32,0,0,6,6,0,0.0,0,0,5,10,0,0.0,0,10.8,1.4,1.74,Not Enrolled,Not Enrolled,0.98,0.02
1,1,2,9085,1,1,151.0,1,40,4,2,2,144.5,1,0,0,1,0,0,18,0,0,6,7,6,15.666666666666666,0,0,6,6,6,14.833333333333334,0,8.9,1.4,3.51,Not Enrolled,Not Enrolled,0.98,0.02
1,1,1,9500,1,1,148.0,1,3,3,2,2,137.3,1,0,0,1,0,0,19,0,0,7,7,6,14.266666666666666,0,0,7,7,6,14.266666666666666,0,7.6,2.6,0.32,Not Enrolled,Not Enrolled,0.98,0.02
4,39,1,9130,1,19,133.1,1,37,38,9,4,100.9,0,0,0,1,1,0,48,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,15.5,2.8,-4.06,Not Enrolled,Not Enrolled,0.98,0.02
1,17,6,9500,1,1,131.0,1,3,19,5,5,127.2,1,0,0,1,0,1,19,0,0,7,7,7,13.801428571428572,0,0,8,8,8,14.575,0,11.1,0.6,2.02,Not Enrolled,Not Enrolled,0.98,0.02
1,1,2,9500,1,1,136.0,1,19,19,9,9,140.0,1,0,0,1,0,0,20,0,0,7,7,6,13.966666666666669,0,0,7,7,6,13.966666666666669,0,7.6,2.6,0.32,Not Enrolled,Not Enrolled,0.98,0.02
1,1,1,9238,1,1,135.0,1,19,19,9,5,135.0,1,0,0,1,0,0,20,0,0,6,6,6,13.833333333333334,0,0,6,6,6,11.833333333333334,0,10.8,1.4,1.74,Not Enrolled,Not Enrolled,0.98,0.02
1,1,2,9773,1,1,159.0,1,1,1,3,3,151.0,1,0,0,1,0,0,18,0,0,6,6,6,14.833333333333334,0,0,6,6,6,15.333333333333334,0,12.7,3.7,-1.7,Not Enrolled,Not Enrolled,0.98,0.02
2,39,1,9500,1,1,140.0,1,19,19,9,7,110.5,0,0,0,1,0,0,31,0,0,7,0,0,0.0,0,0,8,0,0,0.0,0,12.7,3.7,-1.7,Not Enrolled,Not Enrolled,0.98,0.02
1,17,3,9500,1,1,137.0,1,19,37,7,7,126.7,1,0,0,1,0,1,19,0,0,7,7,7,13.714285714285714,0,0,8,11,8,14.863636363636363,0,16.2,0.3,-0.92,Not Enrolled,Not Enrolled,0.98,0.02
1,17,5,9500,1,1,148.0,1,1,19,4,8,130.2,1,0,0,1,0,0,19,0,0,7,0,0,0.0,0,0,8,0,0,0.0,0,12.4,0.5,1.79,Not Enrolled,Not Enrolled,0.98,0.02
1,1,2,9500,1,1,149.0,1,19,38,9,9,126.5,1,0,0,1,0,0,18,0,0,8,8,7,12.914285714285713,0,0,8,8,7,12.914285714285713,0,12.7,3.7,-1.7,Not Enrolled,Not Enrolled,0.97,0.03
1,17,2,9130,1,1,127.0,1,3,1,2,1,116.5,0,0,0,1,0,0,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,15.5,2.8,-4.06,Not Enrolled,Not Enrolled,0.97,0.03
2,39,1,8014,0,1,150.0,1,37,37,9,9,140.0,0,0,0,0,1,0,35,0,0,6,6,6,14.0,0,0,6,6,6,14.166666666666666,0,9.4,-0.8,-3.12,Not Enrolled,Not Enrolled,0.97,0.03
1,7,1,9500,1,3,130.0,1,37,37,9,5,130.0,0,0,0,1,0,0,36,0,0,7,7,0,0.0,7,0,7,7,0,0.0,7,16.2,0.3,-0.92,Not Enrolled,Not Enrolled,0.97,0.03
1,39,1,9085,1,3,150.0,1,2,3,4,7,173.3,1,0,0,1,0,0,25,0,1,6,7,6,16.857142857142858,0,1,6,6,6,16.5,0,13.9,-0.3,0.79,Not Enrolled,Not Enrolled,0.97,0.03
1,1,2,9773,1,1,140.0,1,38,38,5,7,126.4,1,0,0,1,1,1,18,0,0,6,8,6,12.666666666666666,0,0,6,6,6,13.5,0,12.7,3.7,-1.7,Not Enrolled,Not Enrolled,0.97,0.03
1,42,1,9119,1,1,140.0,1,3,3,3,2,133.6,1,0,0,1,1,0,22,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,10.8,1.4,1.74,Not Enrolled,Not Enrolled,0.97,0.03
1,39,2,8014,0,1,141.0,1,37,37,9,9,150.5,0,0,0,1,0,0,29,0,0,6,7,6,13.166666666666666,0,0,6,8,6,15.625,0,12.4,0.5,1.79,Not Enrolled,Not Enrolled,0.97,0.03
1,39,1,9147,1,1,120.0,1,37,1,9,1,122.7,0,0,0,0,0,0,25,0,0,5,5,0,0.0,0,0,5,9,0,0.0,0,10.8,1.4,1.74,Not Enrolled,Not Enrolled,0.97,0.03
1,1,1,9238,1,1,141.0,1,38,1,5,7,132.6,0,0,0,1,0,1,18,0,0,6,7,6,13.285714285714286,0,0,6,6,6,14.333333333333334,0,12.4,0.5,1.79,Not Enrolled,Not Enrolled,0.97,0.03
1,39,1,9003,1,1,110.0,1,19,37,9,6,120.0,0,0,1,0,1,0,31,0,0,6,15,1,11.0,0,0,6,10,0,0.0,0,16.2,0.3,-0.92,Not Enrolled,Not Enrolled,0.97,0.03
1,44,1,8014,0,39,160.0,1,37,37,7,7,156.1,0,0,0,1,0,1,21,0,3,6,6,6,14.666666666666666,0,2,6,6,6,14.166666666666666,0,13.9,-0.3,0.79,Not Enrolled,Not Enrolled,0.97,0.03
1,39,1,9991,0,1,110.0,1,37,37,9,9,139.0,0,0,0,1,1,0,40,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,12.7,3.7,-1.7,Not Enrolled,Not Enrolled,0.97,0.03
1,17,6,9238,1,1,135.0,1,1,19,7,7,126.6,1,0,0,1,0,1,19,0,0,6,8,6,13.625,0,0,6,7,6,12.166666666666666,0,12.7,3.7,-1.7,Not Enrolled,Not Enrolled,0.97,0.03
1,17,1,9670,1,1,130.0,1,3,19,5,5,121.6,0,0,0,1,0,0,18,0,0,6,6,6,13.666666666666666,0,0,6,8,5,13.6,0,8.9,1.4,3.51,Not Enrolled,Not Enrolled,0.97,0.03
1,44,1,9085,1,39,150.0,1,19,37,4,7,150.0,1,0,0,1,0,0,19,0,2,6,8,6,14.142857142857142,0,1,6,7,6,13.0,0,13.9,-0.3,0.79,Not Enrolled,Not Enrolled,0.97,0.03
1,1,2,9500,1,1,134.0,1,19,19,9,9,125.8,1,0,0,1,0,0,18,0,0,7,8,7,14.91875,0,0,8,8,8,15.355,0,15.5,2.8,-4.06,Not Enrolled,Not Enrolled,0.97,0.03
1,17,4,9147,1,1,133.0,1,1,1,4,5,136.2,1,0,0,1,0,0,19,0,0,5,6,5,12.4,0,0,5,5,5,12.8,0,7.6,2.6,0.32,Not Enrolled,Not Enrolled,0.97,0.03
1,17,1,9853,1,1,108.0,1,19,1,5,5,107.3,0,0,0,1,0,0,20,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,15.5,2.8,-4.06,Not Enrolled,Not Enrolled,0.97,0.03
