Age_at_enrollment,Previous_qualification_grade,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_grade,Curricular_units_1st_sem_approved,Curricular_units_2nd_sem_approved,Actual,Predicted
18,145.0,146.8,0,0,0,1,0,0,13.166666666666666,13.333333333333334,6,6,2,2
27,170.0,150.8,1,0,0,1,0,0,11.0,11.0,2,1,0,0
35,110.0,119.0,0,0,0,1,1,1,10.5,12.6,4,5,2,2
33,140.0,107.8,0,0,0,1,0,0,10.375,10.444444444444445,8,9,1,1
32,120.0,133.2,1,0,0,1,1,0,0.0,0.0,0,0,0,0
19,136.0,133.2,1,0,0,1,0,0,11.0,11.4,5,5,2,2
18,160.0,155.5,1,0,0,1,0,0,14.0,15.0,6,6,2,2
18,142.0,132.9,1,0,0,1,1,0,14.2,12.4,5,6,0,2
27,140.0,130.0,0,0,0,1,1,0,14.166666666666666,13.833333333333334,6,6,2,2
19,137.0,138.4,0,0,0,1,1,0,15.125,13.428571428571429,6,6,2,2
23,140.0,143.3,1,0,0,0,0,0,13.666666666666666,13.5,9,6,1,2
20,123.0,115.3,1,0,0,1,0,0,13.5,14.0,6,6,1,2
29,120.0,120.0,1,0,0,1,0,0,12.25,12.25,6,6,0,2
19,124.0,116.0,0,0,0,1,1,0,15.5,14.1,6,6,2,2
21,123.0,132.1,0,0,0,1,0,1,11.0,12.0,5,5,2,2
21,142.0,134.3,0,1,0,1,1,0,0.0,0.0,0,0,0,0
20,121.0,111.9,1,0,0,1,1,1,11.333333333333334,10.571428571428571,6,4,1,2
19,138.0,123.0,1,0,0,1,0,0,10.8,11.333333333333334,5,5,2,2
19,135.0,132.6,1,0,0,1,0,1,13.6,14.6,5,5,2,2
18,139.0,152.0,0,0,0,1,0,1,14.6,12.0,5,5,2,2
25,133.1,134.3,0,0,0,1,1,0,11.0,11.75,1,4,0,0
20,137.0,121.3,1,0,0,1,0,0,12.6,12.6,6,6,2,2
18,133.0,120.1,1,0,0,1,0,0,12.75,11.75,4,4,2,2
19,130.0,121.3,1,0,0,1,0,0,14.166666666666666,12.2,6,6,2,2
40,110.0,100.0,0,0,0,1,1,0,16.0,15.5,1,4,2,0
21,102.0,101.7,1,0,0,1,1,1,13.5,12.333333333333334,6,6,2,2
22,108.0,110.5,1,0,0,1,0,1,12.166666666666666,12.5,6,6,2,2
26,130.0,121.5,0,0,0,0,1,0,10.5,0.0,2,0,0,0
19,134.0,131.2,0,0,0,1,0,0,11.0,11.2,1,5,1,1
19,130.0,130.4,1,0,0,1,0,1,13.894285714285711,14.3625,7,8,2,2
30,130.0,103.4,0,0,0,1,0,0,11.75,11.142857142857142,7,7,0,2
18,162.0,147.5,1,0,0,1,0,1,14.14125,14.14125,8,8,2,2
19,120.0,113.7,1,0,1,0,0,0,12.2,0.0,5,0,0,0
19,135.0,126.6,0,0,0,1,0,1,12.901428571428571,13.094444444444443,7,8,2,2
18,123.0,113.8,1,0,0,1,0,0,11.155555555555557,11.425,7,8,2,2
34,130.0,131.4,0,0,0,1,1,0,12.4,13.428571428571429,5,5,2,2
18,116.0,116.4,1,0,0,1,0,0,13.166666666666666,13.166666666666666,6,6,2,2
22,160.0,160.0,0,0,0,1,1,1,13.125,13.0,6,6,2,2
21,130.0,123.4,1,0,0,1,0,0,11.75,13.333333333333334,4,3,2,1
30,130.0,160.0,0,0,0,1,0,0,14.6,15.4,5,5,0,2
22,115.0,109.1,1,0,1,0,0,1,0.0,0.0,0,0,0,0
22,142.0,137.3,1,0,0,1,0,1,13.9,13.9,6,6,2,2
20,147.0,141.1,1,0,0,1,0,0,13.0,14.2125,6,8,0,2
19,114.0,112.6,1,0,0,1,0,0,11.85,13.65,6,7,2,2
18,134.0,124.9,1,0,1,1,1,0,10.666666666666666,11.333333333333334,3,3,1,0
18,138.0,142.2,1,0,0,1,0,0,13.8,12.6,5,5,2,2
43,133.1,132.0,0,0,0,1,1,0,11.75,0.0,4,0,0,0
20,123.0,134.0,0,0,0,1,0,1,13.666666666666666,13.333333333333334,6,6,2,2
19,137.0,137.0,0,0,1,1,0,0,0.0,11.666666666666666,0,2,1,1
20,120.0,120.0,1,0,0,1,0,0,0.0,0.0,0,0,0,0
21,135.0,135.4,1,0,0,1,1,0,12.565,12.16,6,5,1,2
20,117.0,127.9,1,0,0,1,1,0,0.0,0.0,0,0,0,0
19,122.0,124.8,1,0,0,0,1,0,0.0,0.0,0,0,0,0
18,127.0,120.0,0,0,0,1,0,0,0.0,0.0,0,0,0,0
27,130.0,130.0,1,0,0,1,0,0,12.8875,12.8875,8,8,2,2
31,133.1,121.7,0,0,0,1,1,0,0.0,0.0,0,0,0,0
28,115.0,115.0,1,0,0,1,0,0,12.8,11.0,5,5,2,1
18,160.0,139.0,1,0,0,1,0,1,12.2,0.0,5,0,0,0
22,121.0,125.9,1,0,0,1,0,0,10.0,13.5,4,2,1,1
18,142.0,130.3,0,0,0,1,0,0,13.683333333333332,13.683333333333332,6,6,2,2
18,116.0,110.1,1,0,0,1,0,0,13.333333333333334,12.0,6,6,2,2
34,130.0,128.2,0,0,0,1,0,0,11.0,10.0,3,2,0,0
21,136.0,125.9,0,0,0,1,0,0,12.2,11.8,5,5,2,1
20,133.1,118.0,0,0,0,1,0,1,11.666666666666666,14.0,6,5,2,2
24,133.1,133.0,0,0,0,1,0,0,12.585714285714284,13.44285714285714,6,7,2,2
19,125.0,114.9,0,0,0,1,0,1,11.5,12.2,6,5,2,2
20,111.0,108.2,1,0,0,1,0,0,13.266666666666666,12.3,6,5,0,2
21,100.0,136.0,1,0,0,1,0,0,14.355555555555554,13.49375,7,8,2,2
24,133.1,106.0,1,0,0,1,0,0,10.5,11.0,2,1,1,0
21,129.0,124.8,1,0,0,1,0,0,14.5,12.0,6,5,2,2
20,131.0,125.4,1,0,0,1,0,0,15.692307692307692,14.428571428571429,6,5,2,2
31,133.1,96.0,0,0,0,1,1,0,0.0,0.0,0,0,0,0
21,117.0,131.0,1,0,1,0,1,0,14.0,0.0,1,0,0,0
18,140.0,127.8,0,0,0,1,1,0,14.285714285714286,14.857142857142858,6,6,2,2
19,136.0,129.7,0,0,0,1,0,0,12.166666666666666,13.714285714285714,6,6,2,2
21,141.0,130.2,1,0,0,1,0,0,14.072222222222225,14.0475,7,8,2,2
19,133.0,130.2,1,0,0,1,0,0,0.0,0.0,0,0,0,0
22,127.0,126.7,1,0,0,0,1,0,0.0,0.0,0,0,0,0
59,130.0,140.0,0,0,0,0,0,0,13.333333333333334,12.875,12,8,0,0
29,121.0,141.4,0,0,1,0,1,0,11.25,11.8,4,4,0,0
20,123.0,120.2,1,0,0,1,0,0,11.8,11.5,5,4,0,2
19,127.0,115.8,1,0,0,1,1,0,12.0,10.0,3,2,0,0
19,133.1,107.0,1,0,0,1,0,0,10.6,11.714285714285714,5,6,0,2
18,162.0,154.1,0,0,0,1,0,0,14.45,14.144444444444444,7,8,2,2
19,135.0,134.3,1,0,0,1,0,0,14.2,13.8,5,5,1,2
19,118.0,112.4,1,0,0,1,0,0,15.307692307692308,13.875,6,6,2,2
49,133.1,128.0,0,0,0,1,1,0,14.0,13.666666666666666,3,3,0,0
27,133.1,148.2,1,0,1,1,0,0,12.125,12.0,6,5,1,0
21,118.0,115.2,1,0,0,1,0,1,12.333333333333334,12.5,3,2,0,1
18,122.0,116.4,1,0,1,1,0,1,11.6,11.8,5,5,2,2
19,145.0,145.0,0,0,0,1,0,1,12.833333333333334,13.166666666666666,6,6,2,2
36,133.1,110.0,0,0,0,1,0,0,11.5,12.333333333333334,4,3,0,0
20,123.0,127.2,0,0,1,0,1,0,11.333333333333334,11.5,3,2,0,0
37,130.0,118.1,0,0,1,0,0,0,0.0,0.0,0,0,0,0
18,109.0,137.0,1,0,0,1,0,1,12.666666666666666,12.8,6,5,2,2
30,133.1,101.6,0,0,0,1,1,1,0.0,0.0,0,0,0,0
32,133.1,140.0,1,0,1,0,0,0,0.0,0.0,0,0,0,0
27,120.0,113.8,0,0,0,0,1,0,0.0,0.0,0,0,0,0
21,121.0,116.8,1,0,0,1,0,0,11.333333333333334,12.25,6,4,2,2
18,130.0,125.1,1,0,0,1,0,0,13.78,13.661,7,8,2,2
23,138.0,123.0,1,0,0,1,0,0,12.8,11.666666666666666,5,3,0,1
35,100.0,100.0,0,0,0,1,0,0,11.4,12.333333333333334,5,3,1,1
19,131.0,127.0,0,0,0,1,1,1,12.514285714285714,12.514285714285714,7,7,2,2
21,135.0,135.0,0,0,1,1,1,0,12.333333333333334,11.25,3,4,1,0
20,117.0,113.2,1,0,1,1,0,0,10.666666666666666,11.857142857142858,6,6,2,2
24,150.0,144.6,0,0,1,0,0,0,13.0,0.0,1,0,0,0
28,147.0,147.9,0,0,0,1,0,0,11.5,12.0,4,4,1,1
26,150.0,127.0,1,0,0,1,1,0,13.046666666666669,13.30625,6,7,0,2
38,150.0,150.0,1,0,1,0,0,0,0.0,0.0,0,0,0,0
18,143.0,126.9,1,0,0,1,0,0,11.0,11.666666666666666,5,6,2,2
19,133.0,130.2,1,0,0,1,1,1,13.7,14.022222222222222,7,8,2,2
20,131.0,118.4,1,0,0,1,0,1,13.766666666666666,13.744444444444444,6,8,0,2
20,150.0,150.0,1,0,0,1,1,0,13.8,13.142857142857142,6,6,2,2
18,137.0,130.8,1,0,0,1,0,1,12.666666666666666,12.666666666666666,6,6,2,2
21,125.0,125.0,1,0,0,1,0,0,12.0,11.25,9,8,2,2
22,133.1,100.0,1,0,0,1,1,0,11.25,11.0,4,3,1,1
29,133.1,96.7,0,0,0,1,1,1,0.0,0.0,0,0,0,0
18,131.0,126.1,0,0,0,1,0,0,0.0,13.25,0,4,1,1
19,116.0,110.8,1,0,0,1,1,0,0.0,0.0,0,0,0,0
27,160.0,107.8,1,0,0,0,1,0,0.0,0.0,0,0,0,0
22,133.1,138.0,0,0,1,1,1,0,12.625,14.5,6,2,1,0
24,130.0,140.0,1,0,0,1,0,0,14.985714285714286,14.985714285714286,7,7,2,2
25,140.0,135.8,1,0,0,1,1,0,10.8,11.357142857142858,15,14,2,0
18,126.0,132.0,1,0,0,1,0,1,15.0,11.666666666666666,3,3,0,1
24,130.0,126.9,0,0,1,1,0,0,13.285714285714286,12.875,6,6,2,2
21,121.0,123.1,1,0,0,1,1,0,11.166666666666666,14.666666666666666,6,3,1,1
35,140.0,129.7,0,0,0,1,0,0,12.0,12.857142857142858,5,5,2,2
19,126.0,129.9,1,0,0,1,1,1,13.666666666666666,13.2,6,5,2,2
34,120.0,170.0,0,0,0,1,0,0,11.5,11.75,2,4,1,0
26,133.1,101.0,1,0,0,1,0,0,12.666666666666666,11.0,3,2,0,0
19,125.0,118.0,1,0,0,1,0,1,12.25,12.333333333333334,4,3,2,1
18,133.0,128.5,1,0,0,1,0,1,11.0,10.333333333333334,2,3,0,1
18,124.0,126.8,0,0,0,1,0,1,12.0,11.142857142857142,6,5,1,2
25,133.1,115.0,1,0,1,0,1,0,13.0,13.75,4,4,0,0
19,118.0,118.4,1,0,0,1,1,0,10.5,11.75,2,4,1,1
18,148.0,133.0,0,0,0,1,1,0,13.285714285714286,14.8,5,5,0,2
18,125.0,130.6,1,0,0,1,0,1,13.5,14.0,6,6,2,2
30,160.0,120.0,0,0,0,1,0,0,14.142857142857142,14.8,7,5,2,2
36,120.0,149.0,0,0,0,0,1,0,11.5,0.0,2,0,0,0
18,140.0,130.0,1,0,0,1,1,1,13.183333333333332,13.183333333333332,6,6,2,2
18,131.0,131.7,1,0,0,0,0,0,0.0,0.0,0,0,0,0
19,137.0,124.9,0,0,0,1,0,1,13.8875,14.864444444444445,6,8,2,2
19,145.0,129.6,0,0,0,1,0,1,11.333333333333334,12.428571428571429,6,6,2,2
25,133.1,103.0,0,0,0,1,1,0,0.0,0.0,0,0,0,0
18,139.0,130.6,0,0,0,1,0,0,12.8,11.857142857142858,5,5,2,2
41,100.0,110.0,0,0,0,1,0,0,11.833333333333334,12.7,12,9,2,2
24,151.0,138.4,1,0,0,1,0,1,13.666666666666666,12.833333333333334,6,6,2,2
20,160.0,160.0,1,0,0,1,1,0,14.0,14.666666666666666,6,6,2,2
28,133.1,120.0,0,0,0,1,1,0,10.285714285714286,10.6,7,5,0,1
33,133.1,118.0,0,0,0,0,1,0,0.0,0.0,0,0,0,0
18,130.0,124.1,1,0,0,1,0,0,14.166666666666666,13.428571428571429,6,6,1,2
22,140.0,142.5,1,0,0,1,0,1,13.5,13.714285714285714,8,7,2,2
20,125.0,131.7,1,0,0,1,1,0,12.75,12.666666666666666,4,3,0,1
19,134.0,141.4,1,0,0,1,0,0,13.0,14.0,3,2,0,0
18,140.0,131.6,1,0,0,1,0,0,13.135,13.244444444444444,7,8,2,2
22,125.0,126.1,1,0,0,1,1,0,13.4,10.666666666666666,5,3,1,1
28,133.1,128.2,0,0,0,1,1,0,12.0,11.333333333333334,3,3,0,0
21,140.0,140.0,0,0,0,1,1,0,11.75,10.5,4,4,1,1
22,127.0,138.8,1,0,0,1,0,0,14.153846153846152,15.428571428571429,11,12,2,2
18,130.0,133.9,1,0,0,1,0,0,12.2,11.25,5,4,2,1
21,130.0,121.3,1,0,0,1,0,0,13.0,12.0,2,4,1,1
18,130.0,118.8,0,0,0,1,0,0,13.677142857142858,14.533333333333331,7,8,2,2
18,150.0,130.8,1,0,0,1,0,0,13.614285714285714,13.614285714285714,7,7,2,2
21,117.0,113.2,0,0,0,1,1,0,10.0,10.333333333333334,2,3,1,0
39,133.1,136.2,0,0,0,1,0,0,11.0,11.666666666666666,5,5,2,2
21,120.0,119.8,0,0,0,1,1,0,12.0,12.142857142857142,2,7,0,2
20,137.0,124.4,1,0,0,1,0,0,12.728571428571428,14.625,7,8,2,2
19,138.0,123.0,1,0,0,1,0,0,13.44,13.066666666666668,5,6,1,2
27,110.0,110.0,1,0,0,1,1,0,12.333333333333334,13.166666666666666,9,6,0,2
19,133.0,121.5,1,0,0,1,0,1,13.0,14.333333333333334,6,6,2,2
25,145.7,145.7,1,0,0,1,0,0,13.333333333333334,12.272727272727272,15,11,2,2
18,122.0,126.6,1,0,0,1,0,0,12.833333333333334,13.833333333333334,6,6,2,2
27,133.1,115.6,1,0,0,0,0,0,0.0,0.0,0,0,0,0
39,133.1,109.0,1,0,0,1,0,0,12.16,12.16,5,5,1,2
18,130.0,117.8,0,0,0,1,0,0,10.0,11.333333333333334,2,3,1,1
18,121.0,125.9,1,0,0,1,1,0,0.0,0.0,0,0,0,0
22,133.1,155.0,0,0,0,1,0,0,11.333333333333334,0.0,3,0,0,0
19,124.0,125.4,1,0,0,1,1,0,13.5,13.166666666666666,6,6,2,2
18,131.0,118.4,0,0,0,1,1,0,0.0,11.5,0,2,0,0
20,130.0,118.1,0,0,0,1,1,0,12.166666666666666,12.0,6,6,2,2
20,125.0,130.0,1,0,0,1,1,0,12.833333333333334,13.4,6,4,2,2
25,160.0,130.0,0,0,0,1,0,0,11.95,12.042857142857144,7,7,1,2
21,130.0,117.8,1,0,0,1,0,0,13.0,11.5,3,4,2,2
36,160.0,160.0,1,0,1,0,0,0,12.0,14.666666666666666,6,3,0,0
37,133.1,129.0,0,0,0,1,0,0,12.0,12.0,4,3,0,0
20,106.0,116.9,1,0,0,1,0,0,11.5,12.4,6,5,2,2
19,136.0,133.0,1,0,0,1,0,0,13.98,13.98,5,5,1,2
27,150.0,150.0,0,0,0,1,0,0,0.0,0.0,0,0,0,0
20,124.0,117.8,0,0,0,1,0,1,12.791428571428572,12.791428571428572,7,7,2,2
18,141.0,133.0,1,0,0,1,1,0,13.0,12.333333333333334,4,3,1,1
18,130.0,126.2,0,0,0,1,1,1,11.333333333333334,12.285714285714286,6,6,2,2
18,128.0,116.5,1,0,0,1,0,1,13.428571428571429,12.666666666666666,6,6,2,2
24,130.0,134.0,0,0,0,1,1,1,11.833333333333334,14.0,5,4,1,2
18,122.0,114.3,1,0,0,1,0,0,13.875,13.714285714285714,6,6,2,2
18,128.0,122.1,1,0,0,1,0,0,11.833333333333334,13.8,5,5,2,2
20,122.0,115.7,1,0,0,1,0,0,0.0,0.0,0,0,0,0
20,130.0,131.4,0,0,0,1,1,0,14.166666666666666,12.333333333333334,6,6,2,2
24,133.1,105.0,1,0,1,0,0,0,11.285714285714286,10.333333333333334,6,3,0,0
20,124.0,121.2,1,0,0,1,1,0,0.0,0.0,0,0,1,0
41,110.0,140.0,0,0,0,1,0,0,14.5,13.0,4,5,1,2
19,152.0,160.4,1,0,0,0,0,0,0.0,0.0,0,0,0,0
18,127.0,118.3,1,0,0,1,0,0,12.333333333333334,12.0,6,3,1,2
31,130.0,130.0,0,0,0,1,1,0,12.333333333333334,13.285714285714286,12,7,2,2
24,120.0,134.4,0,0,0,1,1,0,15.714285714285714,15.9,6,6,0,2
21,106.0,104.6,0,0,0,0,1,0,14.0,14.8,5,4,1,0
18,135.0,122.9,1,0,0,1,0,0,13.128,13.193333333333332,7,6,2,2
25,133.1,120.0,0,0,0,1,0,1,13.3675,13.3675,8,8,2,2
18,122.0,130.8,1,0,0,1,0,0,11.25,13.0,4,5,2,2
19,118.0,112.4,1,0,0,1,0,0,11.285714285714286,0.0,5,0,0,0
18,140.0,123.6,1,0,0,1,0,0,12.857142857142858,12.666666666666666,6,3,2,2
21,122.0,119.9,0,0,0,1,0,1,11.4,12.2,5,5,2,2
26,133.1,100.0,0,0,1,0,1,0,13.0,14.0,6,2,0,0
19,147.0,141.8,1,0,0,1,0,0,13.0,12.8,6,4,2,2
44,140.0,172.0,0,0,0,1,1,0,12.333333333333334,11.0,9,9,1,2
19,139.0,136.2,0,0,0,1,0,0,13.0,13.333333333333334,5,5,2,2
19,160.0,152.0,0,0,0,1,1,1,13.857142857142858,14.0,6,6,2,2
27,134.0,120.6,1,0,0,1,1,0,12.333333333333334,13.0,6,5,2,2
21,132.0,119.4,1,0,0,1,1,0,0.0,0.0,0,0,0,0
19,160.0,137.6,1,0,0,1,0,1,12.6,11.25,5,5,2,2
18,133.0,121.8,1,0,0,1,0,1,10.2,11.25,5,4,2,1
18,135.0,133.3,1,0,0,1,0,1,14.833333333333334,14.166666666666666,6,6,2,2
30,129.0,117.1,1,0,0,1,0,0,14.692857142857145,14.9625,7,8,2,2
23,133.1,178.0,1,0,0,1,1,1,13.333333333333334,12.8,6,5,2,2
27,133.1,118.0,0,0,0,1,0,0,11.666666666666666,10.0,6,1,0,0
18,130.0,120.9,1,0,1,1,0,0,14.333333333333334,14.166666666666666,6,6,2,2
43,111.0,95.8,1,0,0,0,1,0,0.0,0.0,0,0,0,0
19,130.0,130.0,1,0,0,1,1,0,12.5,11.6,2,3,1,1
31,140.0,120.0,0,0,1,0,1,0,0.0,0.0,0,0,0,0
24,125.0,118.8,0,0,0,1,1,0,13.3,13.3,6,6,2,2
19,141.0,127.8,0,0,0,1,0,1,0.0,0.0,0,0,0,0
23,130.0,129.4,1,0,1,0,1,0,0.0,0.0,0,0,0,0
18,135.0,125.6,1,0,0,1,0,0,11.0,14.0,4,3,2,1
21,135.0,129.0,1,0,0,1,0,0,0.0,0.0,0,0,0,0
21,139.0,146.5,0,0,0,1,0,0,13.417391304347827,13.417391304347827,12,12,2,2
19,128.0,124.5,0,0,0,1,1,1,14.0,12.333333333333334,4,6,2,2
18,144.0,129.3,1,0,0,1,1,1,0.0,0.0,0,0,1,2
